id,category,brand,name
1,ketchup,LaConstancia,Salsa de tomate
2,combo,LaConstancia,Offer: ketchup + mustard
3,ketchup,LaConstancia,Salsa de tomate Light
4,ketchup,California,Salsa de tomate
5,mayonnaise,San Jorge,Mayonesa
6,mayonnaise,Fruco,Mayonesa
